url,title,rank
"https://www.worldwildlife.org/press-releases/85-of-people-want-global-ban-on-single-use-plastics","85% of People Want Global Ban on Single-Use Plastics","1"
"https://www.bbc.co.uk/news/live/world-us-canada-69094213","Boeing Starliner launches first crewed mission","2"
"https://rosenzweig.io/blog/vk13-on-the-m1-in-1-month.html","Vulkan1.3 on the M1 in one month","3"
"https://www.forbes.com/sites/cameronkeng/2014/06/22/employees-that-stay-in-companies-longer-than-2-years-get-paid-50-less/","Employees Who Stay in Companies Longer Than Two Years Get Paid 50% Less (2014)","4"
"http://www.officemuseum.com/paper_clips.htm","History of the Paper Clip (2016)","5"
"https://coder.com/blog/delivering-5x-faster-throughput-in-coder-2-12-0","We Improved the Performance of a Userspace TCP Stack in Go by 5X","6"
"https://github.com/misprit7/foosbar","Show HN: Foosbar – My autonomous foosball-playing robot","7"
"https://github.com/laudspeaker/laudspeaker","Show HN: Laudspeaker – Open-source mobile push, SMS and email automation","8"
"https://github.com/NX-AI/xlstm","XLSTM code release by NX-AI","9"
"https://paulogpd.bearblog.dev/en-rabbit-r1-its-a-scam/","Rabbit R1 It's a Scam","10"
